tt_id,movie_name,domestic_box_office,budget,month,year,opening_week,screens,genres,mpaa,runtime,user_vote,ratings,country,critic_vote,meta_score,sequel
tt6166392,Wonka,218402312,125000000.0,12,2023,39005800.0,4203.0,Adventure Comedy Family Fantasy Musical,PG,116,144000.0,7.0,United States United Kingdom Canada,385.0,79.34,
tt6495056,Migration,127306285,72000000.0,12,2023,12453275.0,3761.0,Adventure Animation Comedy Family,PG,83,26000.0,6.7,United States,126.0,68.83,
tt9663764,Aquaman and the Lost Kingdom,124481226,205000000.0,12,2023,27686211.0,3706.0,Action Adventure Fantasy Sci-Fi,PG-13,124,85000.0,5.6,United States United Kingdom Canada Australia Iceland,251.0,35.37,
tt26047818,Anyone But You,88319668,25000000.0,12,2023,6000344.0,3055.0,Comedy Romance,R,103,84000.0,6.1,United States Australia,135.0,52.81,
tt1200263,The Color Purple,60619191,95000000.0,12,2023,11737072.0,3203.0,Drama Musical,PG-13,141,16000.0,6.8,United States,301.0,79.53,
tt23289160,Godzilla Minus One,56418793,15000000.0,12,2023,11419975.0,2308.0,Action Adventure Drama Horror Sci-Fi,PG-13,124,74000.0,8.0,Japan,214.0,95.3,
tt1856080,The Boys in the Boat,52641306,40000000.0,12,2023,8400548.0,2557.0,Biography Drama Sport,PG-13,123,16000.0,6.9,United States,191.0,57.27,
tt6587046,The Boy and the Heron,46830188,50000000.0,12,2023,13011722.0,2205.0,Adventure Animation Drama Family Fantasy,PG-13,124,52000.0,7.6,Japan,310.0,95.94,
tt21064584,The Iron Claw,35070296,15900000.0,12,2023,4868370.0,2774.0,Biography Drama Sport,R,132,64000.0,7.7,United Kingdom United States,323.0,86.28,
tt14230458,Poor Things,34553225,35000000.0,12,2023,661230.0,9.0,Comedy Drama Romance Sci-Fi,R,141,263000.0,7.9,Ireland United Kingdom United States Hungary,433.0,91.43,
tt29354040,Renaissance: A Film by Beyoncé,33889684,15000000.0,12,2023,21801216.0,2539.0,Documentary Music,,169,34000.0,8.6,United States,26.0,86.0,
tt23561236,American Fiction,21098470,16000000.0,12,2023,224469.0,7.0,Comedy Drama,R,117,81000.0,7.5,United States,337.0,91.08,
tt3758542,Ferrari,18550028,95000000.0,12,2023,3921773.0,2386.0,Biography Drama History Sport,R,130,45000.0,6.5,United States United Kingdom Italy Saudi Arabia,308.0,72.18,
tt13751694,Animal,15004482,13000000.0,12,2023,6524534.0,698.0,Action Crime Drama Thriller,,204,91000.0,6.2,India,31.0,30.39,
tt19406606,The Shift,12118219,6500000.0,12,2023,4300165.0,2450.0,Action Romance Sci-Fi Thriller,PG-13,115,48000.0,5.6,United States,35.0,37.0,
tt13927994,Salaar,8929282,34000000.0,12,2023,5618511.0,802.0,Action Crime Drama Thriller,,175,65000.0,6.5,India,5.0,3.0,
tt15428134,Dunki,7460159,15000000.0,12,2023,2714469.0,551.0,Comedy Drama,,160,74000.0,6.6,India,29.0,39.1,
tt13321244,Origin,4689830,38000000.0,12,2023,117063.0,2.0,Drama History,PG-13,141,45000.0,7.2,United States,234.0,79.85,
tt0095016,Die Hard,2048453,28000000.0,12,2023,934421.0,1355.0,Action Thriller,,132,947000.0,8.2,United States,50.0,59.0,
tt5198890,Eileen,1435007,16000000.0,12,2023,93290.0,6.0,Drama Mystery Thriller,R,97,12000.0,6.0,United States United Kingdom South Korea,239.0,80.97,
tt0314331,Love Actually,525266,40000000.0,12,2023,283956.0,927.0,Comedy Drama Romance,R,135,532000.0,7.6,United Kingdom France United States,6.0,62.0,
tt20330434,The Crime Is Mine,109587,13700000.0,12,2023,10134.0,3.0,Comedy Crime,,102,5000.0,6.5,France,60.0,94.4,
